Chương 152:: Phì Nghĩa cái chết 【 2 hợp 1 】

	『 PS: Hôm nay tỉnh ngủ đến phát hiện, hôm qua là đêm giáng sinh, ngô, quả nhiên ta ngủ rất ổn. 』
	Dứt lời, hắn đối Mông Trọng giải thích nói: "Về công tử mà nói, hắn cùng Triệu Hà, có cừu hận bất cộng đái thiên. Công tử vì sao tín nhiệm ta? Bởi vì ta tại hắn thời điểm khó khăn nhất, tìm nơi nương tựa hắn, phụ tá hắn, lúc ấy trừ ta bên ngoài, toàn bộ nước Triệu không ai cùng hắn lui tới. . . Đã từng đường đường nước Triệu Thái tử, luân lạc tới loại tình trạng này, có thể nghĩ công tử đối Triệu Hà, đối Ngô Oa có như thế nào căm hận."

	"Kia Phì tướng đâu?" Mông Trọng mặt không thay đổi hỏi.

	Điền Bất Nhân nghe vậy bình tĩnh nói ra: "Công tử đối Phì Nghĩa cũng có hận ý, dù sao lúc trước công tử vẫn là Thái tử thời điểm, Phì Nghĩa cũng từng giáo sư hắn học thức, nhưng mà, cuối cùng Phì Nghĩa lại vứt bỏ hắn mà đi, lựa chọn Triệu Hà. . ."

	"Đây cũng không phải là Phì tướng sai lầm."

	"Ta biết." Điền Bất Nhân gật gật đầu nói ra: "Đây hết thảy, kỳ thật đều là 'Vị kia' bỏ qua, nhưng ngươi ta có thể đối 'Vị kia' nói cái gì đó? . . . A Trọng, trợ công tử Chương cướp đoạt Triệu Quân chi vị, bảo đảm Triệu Tống đồng minh, đây mới là ngươi ta ưu tiên muốn cân nhắc sự tình, dưới mắt thời khắc mấu chốt, chính là lúc dùng người, vi huynh hi vọng ngươi lấy đại cục làm trọng, dẫn đầu Tín Vệ quân trợ công tử một chút sức lực. . . . Đây cũng là 'Vị kia' ý tứ."

	"Triệu chủ phụ ý tứ?"

	Mông Trọng trực tiếp phơi bày Điền Bất Nhân mập mờ suy đoán "Vị kia", để Điền Bất Nhân hơi có chút khó chịu.

	"Hừ."

	Hừ lạnh một tiếng, Mông Trọng nghiêm mặt nói ra: "Phì tướng tại ta có ân, ta không thể cứu hắn, nhưng ta không cho phép lại có người vũ nhục thi thể của hắn."

	"A Trọng, ngươi thật sự cho rằng vi huynh là người như vậy. . ." Mở một câu trò đùa, đã thấy Mông Trọng trên mặt không có chút nào tiếu dung, Điền Bất Nhân lúc này đổi giọng, gật gật đầu nghiêm mặt nói ra: "Ta sẽ để cho người thích đáng dàn xếp thi thể, đợi sau đó đem nó an táng."

	Nghe nói lời ấy, Mông Trọng xoay người rời đi, tại đi đến Phì Nghĩa thi thể bên người lúc, ngồi xổm người xuống, đem Phì Nghĩa cặp kia chết không nhắm mắt hai con ngươi nhẹ nhàng khép lại.

	Chợt, hắn đứng dậy, tại liếc mắt nhìn chằm chằm Điền Bất Nhân về sau, lắc đầu nói ra: "Phì tướng nói không sai, đạo khác biệt mưu cầu khác nhau, ta không phải là các ngươi một phương người, tuyệt sẽ không."

	Dứt lời, hắn cất bước đi ra Thiên Điện.

	Gặp đây, kia mấy tên vệ sĩ đến gần Điền Bất Nhân, thấp giọng nói ra: "Điền tướng, Mông Tư Mã. . ."

	"Không cần lo ngại."

	Điền Bất Nhân trầm mặt nói ra: "Mông Trọng cơ trí nhiều mưu, giống như dưới mắt hoàn cảnh, hắn cũng chỉ có hiệp trợ công tử, chỉ bất quá. . ."

	『. . . Chỉ bất quá, sợ là từ đây sẽ không lại cùng bọn ta có bất kỳ lui tới. 』

	Thở ra thật dài khẩu khí, Điền Bất Nhân liếc qua Phì Nghĩa thi thể, trong mắt lóe lên vài tia oán hận.

	"Lão thất phu."

	Hắn thấp giọng mắng.

	Làm cùng lúc đó, Mông Trọng đã cất bước đi ra Thiên Điện, đứng tại ngoài điện trên đất trống, nhìn ra xa tây điện phương hướng.

	Mặc dù khoảng cách cách khá xa, nhưng Mông Trọng vẫn có thể thấy tây điện bên kia có vô số binh lính ngay tại chém giết, nghĩ đến công tử Chương vệ đội, cùng Bàng Noãn suất lĩnh Đàn Vệ quân, ngay tại hung mãnh tiến công tây điện.

	". . ."

	Yên lặng nhìn chăm chú một lát, Mông Trọng quay người đi hướng đông điện chính điện, tức Triệu chủ phụ ở cung điện.

	Chỉ gặp tại đông điện chính điện ngoài điện, có một đội công tử Chương hộ vệ chính trấn giữ lấy cửa điện, những người này ở đây nhìn thấy Mông Trọng tiếp cận về sau, lúc này đi lên phía trước ngăn cản, trầm giọng nói ra: "Mông Tư Mã xin dừng bước! . . . Triệu chủ phụ thân thể khó chịu, ngay tại trong điện nghỉ ngơi, An Dương Quân có lệnh , bất kỳ người nào không được đi vào."

	"Tránh ra!" Mông Trọng nói mà không có biểu cảm gì nói.

	Nghe nói lời ấy, những vệ sĩ kia hai mặt nhìn nhau, chợt lập lại lần nữa nói: "Mông Tư Mã, An Dương Quân. . ."

	"Ta nói tránh ra!"

	Đánh gãy đối phương, Mông Trọng lạnh lùng nói ra: "Ta không có tâm tình phối hợp các ngươi trò xiếc! . . . Nếu như công tử Chương coi là thật bắt Triệu chủ phụ, ta liền lập tức đến ngoài thành triệu tập Tín Vệ quân, giết vào cung điện, nghĩ cách cứu viện Triệu chủ phụ!"

	Cuối cùng câu nói này, hắn cố ý cất cao giọng.

	". . ."

	Nghe Mông Trọng lời này, những cái kia công tử Chương đám vệ sĩ hai mặt nhìn nhau, không biết làm sao.

	Đúng lúc này, trong chính điện truyền đến một trận tiếng bước chân, chợt, trong cửa điện xuất hiện Hạt Quan Tử thân ảnh, hắn cười nhẹ nói với Mông Trọng: "Tiểu hữu làm gì khó xử những cái này quân tốt đâu? Triệu chủ phụ cho mời."

	『 bị cưỡng ép? Hừ! 』

	Mông Trọng âm thầm cười lạnh một tiếng, đang hướng phía Hạt Quan Tử chắp tay về sau, cất bước đi vào trong điện.

	Hắn vậy mới không tin công tử Chương bắt Triệu chủ phụ.

	Tại Sa Khâu hành cung bên trong, công tử Chương bên người mới có hoặc nhiều hoặc ít người? Bàng Noãn có bao nhiêu người?

	Phải biết Bàng Noãn tại hành cung bên trong có ngàn tên binh lính, làm lấy người này văn thao vũ lược, vô luận là công tử Chương vũ dũng, vẫn là Điền Bất Nhân quỷ kế, cũng đừng nghĩ để Bàng Noãn đi vào khuôn khổ —— chớ nói chi là còn có Bàng Noãn lão sư Hạt Quan Tử tại.

	Nói cái gì Triệu chủ phụ bị công tử Chương cưỡng ép, nói cho cùng bất quá là Triệu chủ phụ không muốn gánh vác "Đoạt tử chi vị" tiếng xấu, là cho nên giả ý bị công tử Chương cưỡng ép, cố ý để cái sau ra mặt khởi binh phản loạn —— nếu như quả thật là công tử Chương cưỡng ép Triệu chủ phụ, như vậy vị công tử này thủ cấp, chỉ sợ sớm đã bị Bàng Noãn chém xuống tới.

	Quả nhiên, đợi Mông Trọng đi đến nội điện về sau, hắn quả nhiên nhìn thấy bình yên vô sự, sắc mặt tự nhiên Triệu chủ phụ, cái sau đang ngồi ở tịch bên trong, trước mặt trên bàn thấp bày biện rất nhiều ăn vào một nửa thịt rượu, hiển nhiên mới đang cùng Hạt Quan Tử ở chỗ này uống rượu nói chuyện phiếm.

	Thấy cảnh này, Mông Trọng không khỏi cảm giác có chút trái tim băng giá, vì Phì Nghĩa cảm thấy trái tim băng giá.

	Hắn mắt thấy Triệu chủ phụ, dùng không hiểu ngữ khí bình tĩnh nói ra: "Triệu chủ phụ, Phì tướng chết rồi, ngay tại mới, tại Thiên Điện, tại trước mắt ta, bị công tử Chương cận vệ sát hại."

	"Nha."

	Triệu chủ phụ bưng chén lên, thoáng nhấp một miếng.

	"Kia thật là. . . Rất tiếc nuối."

CVT: Mấy chương này khá là đặc thù, ảnh hưởng đến a main nhiều phết.Chương 152:: Phì Nghĩa cái chết 【 2 hợp 1 】

	『 PS: Hôm nay tỉnh ngủ đến phát hiện, hôm qua là đêm giáng sinh, ngô, quả nhiên ta ngủ rất ổn. 』

	—— —— trở xuống chính văn —— ——

	"Phì tướng, ngài sao lại tới đây?"

	Khi từ mặt mũi tràn đầy kinh ngạc tiến lên đón tới Mông Trọng trong miệng nghe được câu này lúc, Phì Nghĩa sắc mặt đột biến, vừa sợ vừa giận.

	Kinh hãi là, ở chỗ này uống rượu Mông Trọng, vậy mà không biết hắn Phì Nghĩa là bị công tử Chương người lấy Triệu chủ phụ danh nghĩa mời tới, điều này có ý vị gì?

	Mang ý nghĩa cái gọi là "Nghị sự", chỉ là một cái bẫy mà thôi.

	Làm giận là, công tử Chương cuối cùng vẫn là bước ra mưu phản làm loạn một bước này.

	Đúng lúc này, ngoài điện truyền đến một trận tạp lạp tạp lạp tiếng vang, Phì Nghĩa cùng hắn cận vệ nhóm quay đầu liếc mắt nhìn, liền nhìn thấy Thiên Điện ra ngoài hiện từng đội từng đội công tử Chương vệ sĩ, chỉ gặp những vệ sĩ này có cầm trong tay trường qua, có cầm trong tay lợi kiếm, có bưng nỏ cỗ, như ong vỡ tổ mà tràn vào trong điện, đem Phì Nghĩa cùng bên cạnh hắn mấy vệ sĩ, bao quát Mông Trọng, đều bao bọc vây quanh.

	Nhìn thấy một màn này, Mông Trọng trong lòng hơi hồi hộp một chút.

	Hắn cũng không phải lo lắng cho mình, dù sao lại thế nào nghĩ công tử Chương cùng Điền Bất Nhân cũng không có lý do đi gia hại hắn.

	Hắn có chút để ý là Phì Nghĩa —— bởi vì trước mắt điệu bộ này, công tử Chương hiển nhiên là dự định bắt giết Phì Nghĩa.

	Quả nhiên, tại những cái kia cầm trong tay binh khí vệ sĩ đem Phì Nghĩa một đoàn người vây quanh về sau, công tử Chương từ ngồi vào bên trên đứng dậy, chầm chậm hướng bên này đi tới, trong miệng cười nhẹ hỏi: "Phì tướng, làm sao lại chỉ có ngài đâu? Quân thượng đâu?"

	Cho dù bị mười mấy tên vệ sĩ vây quanh, nhưng Phì Nghĩa vẫn mặt không đổi sắc, hắn sắc mặt tự nhiên nói với công tử Chương: "Quân thượng, tự nhiên là tại địa phương an toàn. Ngược lại là An Dương Quân. . . Ngươi bày xuống cái trận thế này, đến tột cùng ý muốn như thế nào đâu?" Hắn chỉ chỉ vây quanh chính mình mười mấy tên vệ sĩ.

	Đúng lúc này, có một vệ sĩ vội vã đi đ�
